Term,Institution Sector,Total Enrollment,Ethnicity,Enrollment
Fall 2019,Community Colleges,192959,American Indian or Alaska Native,994
Fall 2019,Comprehensive Colleges,83674,American Indian or Alaska Native,306
Fall 2019,Doctoral Degree Granting Institutions,112265,American Indian or Alaska Native,220
Fall 2019,Technology Colleges,26674,American Indian or Alaska Native,121
Fall 2018,Community Colleges,199873,American Indian or Alaska Native,1106
Fall 2018,Comprehensive Colleges,85613,American Indian or Alaska Native,295
Fall 2018,Doctoral Degree Granting Institutions,111299,American Indian or Alaska Native,219
Fall 2018,Technology Colleges,27266,American Indian or Alaska Native,105
Fall 2017,Community Colleges,209418,American Indian or Alaska Native,1071
Fall 2017,Comprehensive Colleges,86301,American Indian or Alaska Native,298
Fall 2017,Doctoral Degree Granting Institutions,109030,American Indian or Alaska Native,235
Fall 2017,Technology Colleges,27106,American Indian or Alaska Native,105
Fall 2016,Community Colleges,216277,American Indian or Alaska Native,1143
Fall 2016,Comprehensive Colleges,85633,American Indian or Alaska Native,333
Fall 2016,Doctoral Degree Granting Institutions,107422,American Indian or Alaska Native,229
Fall 2016,Technology Colleges,26806,American Indian or Alaska Native,112
Fall 2015,Community Colleges,222998,American Indian or Alaska Native,1108
Fall 2015,Comprehensive Colleges,87764,American Indian or Alaska Native,322
Fall 2015,Doctoral Degree Granting Institutions,105998,American Indian or Alaska Native,213
Fall 2015,Technology Colleges,26180,American Indian or Alaska Native,102
Fall 2014,Community Colleges,233812,American Indian or Alaska Native,1104
Fall 2014,Comprehensive Colleges,89442,American Indian or Alaska Native,326
Fall 2014,Doctoral Degree Granting Institutions,105408,American Indian or Alaska Native,215
Fall 2014,Technology Colleges,26177,American Indian or Alaska Native,101
Fall 2013,Community Colleges,239791,American Indian or Alaska Native,1292
Fall 2013,Comprehensive Colleges,89701,American Indian or Alaska Native,313
Fall 2013,Doctoral Degree Granting Institutions,104285,American Indian or Alaska Native,286
Fall 2013,Technology Colleges,25773,American Indian or Alaska Native,112
Fall 2012,Community Colleges,243007,American Indian or Alaska Native,1227
Fall 2012,Comprehensive Colleges,90908,American Indian or Alaska Native,299
Fall 2012,Doctoral Degree Granting Institutions,102205,American Indian or Alaska Native,280
Fall 2012,Technology Colleges,25696,American Indian or Alaska Native,121
Fall 2011,Community Colleges,247667,American Indian or Alaska Native,1234
Fall 2011,Comprehensive Colleges,92783,American Indian or Alaska Native,303
Fall 2011,Doctoral Degree Granting Institutions,101664,American Indian or Alaska Native,286
Fall 2011,Technology Colleges,25892,American Indian or Alaska Native,107
Fall 2010,Community Colleges,249343,American Indian or Alaska Native,1339
Fall 2010,Comprehensive Colleges,93204,American Indian or Alaska Native,352
Fall 2010,Doctoral Degree Granting Institutions,100457,American Indian or Alaska Native,274
Fall 2010,Technology Colleges,28180,American Indian or Alaska Native,103
Fall 2009,Community Colleges,239243,American Indian or Alaska Native,1472
Fall 2009,Comprehensive Colleges,94024,American Indian or Alaska Native,427
Fall 2009,Doctoral Degree Granting Institutions,100402,American Indian or Alaska Native,311
Fall 2009,Technology Colleges,27778,American Indian or Alaska Native,160
Fall 2008,Community Colleges,220995,American Indian or Alaska Native,1345
Fall 2008,Comprehensive Colleges,92825,American Indian or Alaska Native,448
Fall 2008,Doctoral Degree Granting Institutions,99162,American Indian or Alaska Native,285
Fall 2008,Technology Colleges,26541,American Indian or Alaska Native,162
Fall 2007,Community Colleges,214129,American Indian or Alaska Native,1208
Fall 2007,Comprehensive Colleges,90894,American Indian or Alaska Native,426
Fall 2007,Doctoral Degree Granting Institutions,96945,American Indian or Alaska Native,299
Fall 2007,Technology Colleges,25430,American Indian or Alaska Native,128
Fall 2006,Community Colleges,209059,American Indian or Alaska Native,1151
Fall 2006,Comprehensive Colleges,89059,American Indian or Alaska Native,438
Fall 2006,Doctoral Degree Granting Institutions,95136,American Indian or Alaska Native,279
Fall 2006,Technology Colleges,24321,American Indian or Alaska Native,116
Fall 2005,Community Colleges,208370,American Indian or Alaska Native,1116
Fall 2005,Comprehensive Colleges,87171,American Indian or Alaska Native,390
